周波数 (Hz)	レベル (dB)
471.679688	-40.541451
474.609375	-41.315334
477.539062	-42.054588
480.468750	-42.708717
483.398438	-43.349194
486.328125	-43.928303
489.257812	-44.467793
492.187500	-44.972252
495.117188	-45.454422
498.046875	-45.923054
500.976562	-46.341591
503.906250	-46.712654
506.835938	-47.142757
509.765625	-47.512543
512.695312	-47.877693
515.625000	-48.226955
518.554688	-48.542645
521.484375	-48.868801
524.414062	-49.193264
527.343750	-49.482452
530.273438	-49.772133
533.203125	-50.020649
536.132812	-50.313309
539.062500	-50.566933
541.992188	-50.815243
544.921875	-51.071365
547.851562	-51.301262
550.781250	-51.525738
553.710938	-51.761272
556.640625	-51.969437
559.570312	-52.180473
562.500000	-52.379326
565.429688	-52.593246
568.359375	-52.783871
571.289062	-52.972900
574.218750	-53.165714
577.148438	-53.342319
580.078125	-53.527828
583.007812	-53.695782
585.937500	-53.856651
588.867188	-54.031219
591.796875	-54.197369
594.726562	-54.359604
597.656250	-54.513573
600.585938	-54.642811
603.515625	-54.821362
606.445312	-54.957767
609.375000	-55.109150
612.304688	-55.257427
615.234375	-55.382519
618.164062	-55.523876
621.093750	-55.654114
624.023438	-55.795593
626.953125	-55.913471
629.882812	-56.033272
632.812500	-56.156055
635.742188	-56.275818
638.671875	-56.387596
641.601562	-56.514893
644.531250	-56.631039
647.460938	-56.724888
650.390625	-56.834579
653.320312	-56.942722
656.250000	-57.049923
659.179688	-57.148685
662.109375	-57.245129
665.039062	-57.361351
667.968750	-57.452103
670.898438	-57.545452
673.828125	-57.629631
676.757812	-57.737049
679.687500	-57.808937
682.617188	-57.902424
685.546875	-57.995068
688.476562	-58.057171
691.406250	-58.135574
694.335938	-58.254478
697.265625	-58.305744
700.195312	-58.392277
703.125000	-58.425705
706.054688	-58.478291
708.984375	-58.578568
711.914062	-58.603848
714.843750	-58.710289
717.773438	-58.782452
720.703125	-58.833969
723.632812	-58.847031
726.562500	-58.918175
729.492188	-58.977722
732.421875	-59.018658
735.351562	-59.065582
738.281250	-59.121548
741.210938	-59.157856
744.140625	-59.193634
747.070312	-59.201679
750.000000	-59.215816
752.929688	-59.228096
755.859375	-59.243664
758.789062	-59.271809
761.718750	-59.269852
764.648438	-59.285042
767.578125	-59.273952
770.507812	-59.266411
773.437500	-59.262604
776.367188	-59.218437
779.296875	-59.216015
782.226562	-59.162239
785.156250	-59.128838
788.085938	-59.044582
791.015625	-59.038670
793.945312	-58.934944
796.875000	-58.862442
799.804688	-58.743538
802.734375	-58.600510
805.664062	-58.504005
808.593750	-58.360359
811.523438	-58.245678
814.453125	-58.030933
817.382812	-57.837013
820.312500	-57.636272
823.242188	-57.390968
826.171875	-57.147125
829.101562	-56.715515
832.031250	-56.372414
834.960938	-56.266964
837.890625	-55.663334
840.820312	-55.278595
843.750000	-54.810146
846.679688	-54.160088
849.609375	-53.590267
852.539062	-52.635941
855.468750	-51.580395
858.398438	-50.488789
861.328125	-49.307091
864.257812	-48.003109
867.187500	-46.169476
870.117188	-44.739502
873.046875	-40.172123
875.976562	-35.322239
878.906250	-30.520552
881.835938	-17.427450
884.765625	-32.552948
887.695312	-37.425861
890.625000	-42.499527
893.554688	-45.019989
896.484375	-47.307751
899.414062	-48.935547
902.343750	-49.748531
905.273438	-51.285839
908.203125	-52.365440
911.132812	-53.068424
914.062500	-53.954765
916.992188	-54.606682
919.921875	-55.124943
922.851562	-55.792583
925.781250	-56.192322
928.710938	-56.727417
931.640625	-56.895100
934.570312	-57.319801
937.500000	-57.904663
940.429688	-57.904541
943.359375	-58.611370
946.289062	-58.738491
949.218750	-58.718723
952.148438	-59.358116
955.078125	-59.484924
958.007812	-59.835545
960.937500	-60.093800
963.867188	-60.237328
966.796875	-60.355556
969.726562	-60.420837
972.656250	-60.240952
975.585938	-61.518478
978.515625	-61.327953
981.445312	-61.421593
984.375000	-61.455051
987.304688	-61.493904
990.234375	-61.661228
993.164062	-61.610935
996.093750	-61.906425
999.023438	-61.774284
1001.953125	-61.969364
1004.882812	-62.259251
1007.812500	-61.843159
1010.742188	-62.460190
1013.671875	-62.429668
1016.601562	-62.624146
1019.531250	-62.760021
1022.460938	-62.558182
1025.390625	-62.865356
1028.320312	-62.944870
1031.250000	-62.822678
1034.179688	-62.918640
1037.109375	-63.061398
1040.039062	-63.173988
1042.968750	-63.169453
1045.898438	-63.274826
1048.828125	-63.345020
1051.757812	-63.251652
1054.687500	-63.260082
1057.617188	-63.136284
1060.546875	-63.228664
1063.476562	-63.379856
1066.406250	-63.489796
1069.335938	-63.552319
1072.265625	-63.615685
1075.195312	-63.577213
1078.125000	-63.639519
1081.054688	-63.576942
1083.984375	-63.652164
1086.914062	-63.714863
