周波数 (Hz)	レベル (dB)
925.781250	-118.895538
928.710938	-113.762543
931.640625	-109.377235
934.570312	-109.043388
937.500000	-113.793167
940.429688	-126.598404
943.359375	-111.420326
946.289062	-108.312561
949.218750	-108.533928
952.148438	-111.185188
955.078125	-113.324738
958.007812	-112.357925
960.937500	-113.155380
963.867188	-114.108345
966.796875	-114.070335
969.726562	-113.586731
972.656250	-109.395584
975.585938	-102.156265
978.515625	-94.259010
981.445312	-95.245239
984.375000	-103.364006
987.304688	-114.868408
990.234375	-123.887985
993.164062	-114.678947
996.093750	-107.249290
999.023438	-104.018295
1001.953125	-103.050255
1004.882812	-103.159676
1007.812500	-104.680321
1010.742188	-105.062477
1013.671875	-104.540146
1016.601562	-110.125290
1019.531250	-112.237518
1022.460938	-103.244316
1025.390625	-102.694305
1028.320312	-106.473831
1031.250000	-114.814507
1034.179688	-113.393387
1037.109375	-102.898010
1040.039062	-99.718460
1042.968750	-100.957771
1045.898438	-104.689400
1048.828125	-100.401085
1051.757812	-97.312096
1054.687500	-97.541290
1057.617188	-101.036736
1060.546875	-110.910248
1063.476562	-106.455284
1066.406250	-100.367538
1069.335938	-99.117516
1072.265625	-101.489410
1075.195312	-104.918228
1078.125000	-101.324966
1081.054688	-99.473251
1083.984375	-100.358322
1086.914062	-103.128365
1089.843750	-108.580696
1092.773438	-113.537163
1095.703125	-109.784760
1098.632812	-106.459015
1101.562500	-101.974533
1104.492188	-100.741997
1107.421875	-103.772522
1110.351562	-106.485863
1113.281250	-101.948120
1116.210938	-101.821892
1119.140625	-108.311745
1122.070312	-98.576210
1125.000000	-93.723259
1127.929688	-93.934830
1130.859375	-95.637726
1133.789062	-93.047104
1136.718750	-93.400169
1139.648438	-92.639038
1142.578125	-88.264763
1145.507812	-88.271324
1148.437500	-87.503746
1151.367188	-83.700089
1154.296875	-82.868469
1157.226562	-78.119820
1160.156250	-72.855286
1163.085938	-69.089874
1166.015625	-62.855865
1168.945312	-52.962013
1171.875000	-34.611614
1174.804688	-22.310429
1177.734375	-23.298901
1180.664062	-39.198559
1183.593750	-54.729527
1186.523438	-63.768459
1189.453125	-69.984833
1192.382812	-74.533470
1195.312500	-78.308533
1198.242188	-82.350075
1201.171875	-86.359154
1204.101562	-88.329971
1207.031250	-90.751434
1209.960938	-91.194473
1212.890625	-91.005295
1215.820312	-93.143440
1218.750000	-96.099823
1221.679688	-98.159904
1224.609375	-97.824417
1227.539062	-97.815323
1230.468750	-101.048912
1233.398438	-103.778687
1236.328125	-102.728333
1239.257812	-104.083717
1242.187500	-106.764084
1245.117188	-106.024445
1248.046875	-104.076996
1250.976562	-103.760201
1253.906250	-105.172203
